sku,title,tags[],specs.weightKg,specs.dimsJson,notes
WIDGET-001,Sample widget 1,"[""audio"", ""popular""]",0.20,"{""w"": 1.1, ""h"": 1.5, ""d"": 1.2}",Batch 1
WIDGET-002,Sample widget 2,"[""office"", ""clearance""]",0.30,"{""w"": 2.1, ""h"": 2.5, ""d"": 2.2}",Batch 1
WIDGET-003,Sample widget 3,"[""usb"", ""bundle""]",0.40,"{""w"": 3.1, ""h"": 3.5, ""d"": 3.2}",Batch 1
WIDGET-004,Sample widget 4,"[""hardware"", ""new""]",0.50,"{""w"": 4.1, ""h"": 4.5, ""d"": 4.2}",Batch 1
WIDGET-005,Sample widget 5,"[""audio"", ""popular""]",0.60,"{""w"": 5.1, ""h"": 5.5, ""d"": 0.2}",Batch 1
WIDGET-006,Sample widget 6,"[""office"", ""clearance""]",0.70,"{""w"": 6.1, ""h"": 6.5, ""d"": 1.2}",Batch 1
WIDGET-007,Sample widget 7,"[""usb"", ""bundle""]",0.80,"{""w"": 7.1, ""h"": 0.5, ""d"": 2.2}",Batch 1
WIDGET-008,Sample widget 8,"[""hardware"", ""new""]",0.90,"{""w"": 8.1, ""h"": 1.5, ""d"": 3.2}",Batch 1
WIDGET-009,Sample widget 9,"[""audio"", ""popular""]",1.00,"{""w"": 0.1, ""h"": 2.5, ""d"": 4.2}",Batch 1
WIDGET-010,Sample widget 10,"[""office"", ""clearance""]",1.10,"{""w"": 1.1, ""h"": 3.5, ""d"": 0.2}",Batch 1
WIDGET-011,Sample widget 11,"[""usb"", ""bundle""]",1.20,"{""w"": 2.1, ""h"": 4.5, ""d"": 1.2}",Batch 1
WIDGET-012,Sample widget 12,"[""hardware"", ""new""]",1.30,"{""w"": 3.1, ""h"": 5.5, ""d"": 2.2}",Batch 1
WIDGET-013,Sample widget 13,"[""audio"", ""popular""]",1.40,"{""w"": 4.1, ""h"": 6.5, ""d"": 3.2}",Batch 1
WIDGET-014,Sample widget 14,"[""office"", ""clearance""]",1.50,"{""w"": 5.1, ""h"": 0.5, ""d"": 4.2}",Batch 1
WIDGET-015,Sample widget 15,"[""usb"", ""bundle""]",1.60,"{""w"": 6.1, ""h"": 1.5, ""d"": 0.2}",Batch 1
WIDGET-016,Sample widget 16,"[""hardware"", ""new""]",1.70,"{""w"": 7.1, ""h"": 2.5, ""d"": 1.2}",Batch 1
WIDGET-017,Sample widget 17,"[""audio"", ""popular""]",1.80,"{""w"": 8.1, ""h"": 3.5, ""d"": 2.2}",Batch 1
WIDGET-018,Sample widget 18,"[""office"", ""clearance""]",1.90,"{""w"": 0.1, ""h"": 4.5, ""d"": 3.2}",Batch 1
WIDGET-019,Sample widget 19,"[""usb"", ""bundle""]",2.00,"{""w"": 1.1, ""h"": 5.5, ""d"": 4.2}",Batch 1
WIDGET-020,Sample widget 20,"[""hardware"", ""new""]",2.10,"{""w"": 2.1, ""h"": 6.5, ""d"": 0.2}",Batch 1
WIDGET-021,Sample widget 21,"[""audio"", ""popular""]",2.20,"{""w"": 3.1, ""h"": 0.5, ""d"": 1.2}",Batch 1
WIDGET-022,Sample widget 22,"[""office"", ""clearance""]",2.30,"{""w"": 4.1, ""h"": 1.5, ""d"": 2.2}",Batch 1
WIDGET-023,Sample widget 23,"[""usb"", ""bundle""]",2.40,"{""w"": 5.1, ""h"": 2.5, ""d"": 3.2}",Batch 1
WIDGET-024,Sample widget 24,"[""hardware"", ""new""]",2.50,"{""w"": 6.1, ""h"": 3.5, ""d"": 4.2}",Batch 1
WIDGET-025,Sample widget 25,"[""audio"", ""popular""]",2.60,"{""w"": 7.1, ""h"": 4.5, ""d"": 0.2}",Batch 2
WIDGET-026,Sample widget 26,"[""office"", ""clearance""]",2.70,"{""w"": 8.1, ""h"": 5.5, ""d"": 1.2}",Batch 2
WIDGET-027,Sample widget 27,"[""usb"", ""bundle""]",2.80,"{""w"": 0.1, ""h"": 6.5, ""d"": 2.2}",Batch 2
WIDGET-028,Sample widget 28,"[""hardware"", ""new""]",2.90,"{""w"": 1.1, ""h"": 0.5, ""d"": 3.2}",Batch 2
WIDGET-029,Sample widget 29,"[""audio"", ""popular""]",3.00,"{""w"": 2.1, ""h"": 1.5, ""d"": 4.2}",Batch 2
WIDGET-030,Sample widget 30,"[""office"", ""clearance""]",3.10,"{""w"": 3.1, ""h"": 2.5, ""d"": 0.2}",Batch 2
WIDGET-031,Sample widget 31,"[""usb"", ""bundle""]",3.20,"{""w"": 4.1, ""h"": 3.5, ""d"": 1.2}",Batch 2
WIDGET-032,Sample widget 32,"[""hardware"", ""new""]",3.30,"{""w"": 5.1, ""h"": 4.5, ""d"": 2.2}",Batch 2
WIDGET-033,Sample widget 33,"[""audio"", ""popular""]",3.40,"{""w"": 6.1, ""h"": 5.5, ""d"": 3.2}",Batch 2
WIDGET-034,Sample widget 34,"[""office"", ""clearance""]",3.50,"{""w"": 7.1, ""h"": 6.5, ""d"": 4.2}",Batch 2
WIDGET-035,Sample widget 35,"[""usb"", ""bundle""]",3.60,"{""w"": 8.1, ""h"": 0.5, ""d"": 0.2}",Batch 2
WIDGET-036,Sample widget 36,"[""hardware"", ""new""]",3.70,"{""w"": 0.1, ""h"": 1.5, ""d"": 1.2}",Batch 2
