tenantId,eventId,payload.user.id,payload.user.handle,payload.metrics[],meta
t-beta,evt-0001,u1001,@dev01,"[1.25, 1, 0.75]","{""source"": ""web"", ""version"": ""2.1.1""}"
t-gamma,evt-0002,u1002,@dev02,"[2.5, 2, 1.5]","{""source"": ""api"", ""version"": ""3.2.2""}"
t-alpha,evt-0003,u1003,@dev03,"[3.75, 3, 2.25]","{""source"": ""mobile"", ""version"": ""1.3.3""}"
t-beta,evt-0004,u1004,@dev04,"[5.0, 4, 3.0]","{""source"": ""web"", ""version"": ""2.4.4""}"
t-gamma,evt-0005,u1005,@dev05,"[6.25, 5, 3.75]","{""source"": ""api"", ""version"": ""3.5.5""}"
t-alpha,evt-0006,u1006,@dev06,"[7.5, 6, 4.5]","{""source"": ""mobile"", ""version"": ""1.6.6""}"
t-beta,evt-0007,u1007,@dev07,"[8.75, 7, 5.25]","{""source"": ""web"", ""version"": ""2.7.0""}"
t-gamma,evt-0008,u1008,@dev08,"[10.0, 8, 6.0]","{""source"": ""api"", ""version"": ""3.8.1""}"
t-alpha,evt-0009,u1009,@dev09,"[11.25, 0, 6.75]","{""source"": ""mobile"", ""version"": ""1.9.2""}"
t-beta,evt-0010,u1010,@dev10,"[12.5, 1, 7.5]","{""source"": ""web"", ""version"": ""2.0.3""}"
t-gamma,evt-0011,u1011,@dev11,"[13.75, 2, 0.0]","{""source"": ""api"", ""version"": ""3.1.4""}"
t-alpha,evt-0012,u1012,@dev12,"[15.0, 3, 0.75]","{""source"": ""mobile"", ""version"": ""1.2.5""}"
t-beta,evt-0013,u1013,@dev13,"[16.25, 4, 1.5]","{""source"": ""web"", ""version"": ""2.3.6""}"
t-gamma,evt-0014,u1014,@dev14,"[17.5, 5, 2.25]","{""source"": ""api"", ""version"": ""3.4.0""}"
t-alpha,evt-0015,u1015,@dev15,"[18.75, 6, 3.0]","{""source"": ""mobile"", ""version"": ""1.5.1""}"
t-beta,evt-0016,u1016,@dev16,"[20.0, 7, 3.75]","{""source"": ""web"", ""version"": ""2.6.2""}"
t-gamma,evt-0017,u1017,@dev17,"[0.0, 8, 4.5]","{""source"": ""api"", ""version"": ""3.7.3""}"
t-alpha,evt-0018,u1018,@dev18,"[1.25, 0, 5.25]","{""source"": ""mobile"", ""version"": ""1.8.4""}"
t-beta,evt-0019,u1019,@dev19,"[2.5, 1, 6.0]","{""source"": ""web"", ""version"": ""2.9.5""}"
t-gamma,evt-0020,u1020,@dev20,"[3.75, 2, 6.75]","{""source"": ""api"", ""version"": ""3.0.6""}"
t-alpha,evt-0021,u1021,@dev21,"[5.0, 3, 7.5]","{""source"": ""mobile"", ""version"": ""1.1.0""}"
t-beta,evt-0022,u1022,@dev22,"[6.25, 4, 0.0]","{""source"": ""web"", ""version"": ""2.2.1""}"
t-gamma,evt-0023,u1023,@dev23,"[7.5, 5, 0.75]","{""source"": ""api"", ""version"": ""3.3.2""}"
t-alpha,evt-0024,u1024,@dev24,"[8.75, 6, 1.5]","{""source"": ""mobile"", ""version"": ""1.4.3""}"
t-beta,evt-0025,u1025,@dev25,"[10.0, 7, 2.25]","{""source"": ""web"", ""version"": ""2.5.4""}"
t-gamma,evt-0026,u1026,@dev26,"[11.25, 8, 3.0]","{""source"": ""api"", ""version"": ""3.6.5""}"
t-alpha,evt-0027,u1027,@dev27,"[12.5, 0, 3.75]","{""source"": ""mobile"", ""version"": ""1.7.6""}"
t-beta,evt-0028,u1028,@dev28,"[13.75, 1, 4.5]","{""source"": ""web"", ""version"": ""2.8.0""}"
t-gamma,evt-0029,u1029,@dev29,"[15.0, 2, 5.25]","{""source"": ""api"", ""version"": ""3.9.1""}"
t-alpha,evt-0030,u1030,@dev30,"[16.25, 3, 6.0]","{""source"": ""mobile"", ""version"": ""1.0.2""}"
t-beta,evt-0031,u1031,@dev31,"[17.5, 4, 6.75]","{""source"": ""web"", ""version"": ""2.1.3""}"
t-gamma,evt-0032,u1032,@dev32,"[18.75, 5, 7.5]","{""source"": ""api"", ""version"": ""3.2.4""}"
t-alpha,evt-0033,u1033,@dev33,"[20.0, 6, 0.0]","{""source"": ""mobile"", ""version"": ""1.3.5""}"
t-beta,evt-0034,u1034,@dev34,"[0.0, 7, 0.75]","{""source"": ""web"", ""version"": ""2.4.6""}"
t-gamma,evt-0035,u1035,@dev35,"[1.25, 8, 1.5]","{""source"": ""api"", ""version"": ""3.5.0""}"
t-alpha,evt-0036,u1036,@dev36,"[2.5, 0, 2.25]","{""source"": ""mobile"", ""version"": ""1.6.1""}"
t-beta,evt-0037,u1037,@dev37,"[3.75, 1, 3.0]","{""source"": ""web"", ""version"": ""2.7.2""}"
t-gamma,evt-0038,u1038,@dev38,"[5.0, 2, 3.75]","{""source"": ""api"", ""version"": ""3.8.3""}"
t-alpha,evt-0039,u1039,@dev39,"[6.25, 3, 4.5]","{""source"": ""mobile"", ""version"": ""1.9.4""}"
t-beta,evt-0040,u1040,@dev40,"[7.5, 4, 5.25]","{""source"": ""web"", ""version"": ""2.0.5""}"
t-gamma,evt-0041,u1041,@dev41,"[8.75, 5, 6.0]","{""source"": ""api"", ""version"": ""3.1.6""}"
t-alpha,evt-0042,u1042,@dev42,"[10.0, 6, 6.75]","{""source"": ""mobile"", ""version"": ""1.2.0""}"
t-beta,evt-0043,u1043,@dev43,"[11.25, 7, 7.5]","{""source"": ""web"", ""version"": ""2.3.1""}"
t-gamma,evt-0044,u1044,@dev44,"[12.5, 8, 0.0]","{""source"": ""api"", ""version"": ""3.4.2""}"
t-alpha,evt-0045,u1045,@dev45,"[13.75, 0, 0.75]","{""source"": ""mobile"", ""version"": ""1.5.3""}"
t-beta,evt-0046,u1046,@dev46,"[15.0, 1, 1.5]","{""source"": ""web"", ""version"": ""2.6.4""}"
t-gamma,evt-0047,u1047,@dev47,"[16.25, 2, 2.25]","{""source"": ""api"", ""version"": ""3.7.5""}"
t-alpha,evt-0048,u1048,@dev48,"[17.5, 3, 3.0]","{""source"": ""mobile"", ""version"": ""1.8.6""}"
t-beta,evt-0049,u1049,@dev49,"[18.75, 4, 3.75]","{""source"": ""web"", ""version"": ""2.9.0""}"
t-gamma,evt-0050,u1050,@dev50,"[20.0, 5, 4.5]","{""source"": ""api"", ""version"": ""3.0.1""}"
t-alpha,evt-0051,u1051,@dev51,"[0.0, 6, 5.25]","{""source"": ""mobile"", ""version"": ""1.1.2""}"
t-beta,evt-0052,u1052,@dev52,"[1.25, 7, 6.0]","{""source"": ""web"", ""version"": ""2.2.3""}"
t-gamma,evt-0053,u1053,@dev53,"[2.5, 8, 6.75]","{""source"": ""api"", ""version"": ""3.3.4""}"
t-alpha,evt-0054,u1054,@dev54,"[3.75, 0, 7.5]","{""source"": ""mobile"", ""version"": ""1.4.5""}"
t-beta,evt-0055,u1055,@dev55,"[5.0, 1, 0.0]","{""source"": ""web"", ""version"": ""2.5.6""}"
t-gamma,evt-0056,u1056,@dev56,"[6.25, 2, 0.75]","{""source"": ""api"", ""version"": ""3.6.0""}"
t-alpha,evt-0057,u1057,@dev57,"[7.5, 3, 1.5]","{""source"": ""mobile"", ""version"": ""1.7.1""}"
t-beta,evt-0058,u1058,@dev58,"[8.75, 4, 2.25]","{""source"": ""web"", ""version"": ""2.8.2""}"
t-gamma,evt-0059,u1059,@dev59,"[10.0, 5, 3.0]","{""source"": ""api"", ""version"": ""3.9.3""}"
t-alpha,evt-0060,u1000,@dev00,"[11.25, 6, 3.75]","{""source"": ""mobile"", ""version"": ""1.0.4""}"
t-beta,evt-0061,u1001,@dev01,"[12.5, 7, 4.5]","{""source"": ""web"", ""version"": ""2.1.5""}"
t-gamma,evt-0062,u1002,@dev02,"[13.75, 8, 5.25]","{""source"": ""api"", ""version"": ""3.2.6""}"
t-alpha,evt-0063,u1003,@dev03,"[15.0, 0, 6.0]","{""source"": ""mobile"", ""version"": ""1.3.0""}"
t-beta,evt-0064,u1004,@dev04,"[16.25, 1, 6.75]","{""source"": ""web"", ""version"": ""2.4.1""}"
t-gamma,evt-0065,u1005,@dev05,"[17.5, 2, 7.5]","{""source"": ""api"", ""version"": ""3.5.2""}"
t-alpha,evt-0066,u1006,@dev06,"[18.75, 3, 0.0]","{""source"": ""mobile"", ""version"": ""1.6.3""}"
t-beta,evt-0067,u1007,@dev07,"[20.0, 4, 0.75]","{""source"": ""web"", ""version"": ""2.7.4""}"
t-gamma,evt-0068,u1008,@dev08,"[0.0, 5, 1.5]","{""source"": ""api"", ""version"": ""3.8.5""}"
t-alpha,evt-0069,u1009,@dev09,"[1.25, 6, 2.25]","{""source"": ""mobile"", ""version"": ""1.9.6""}"
t-beta,evt-0070,u1010,@dev10,"[2.5, 7, 3.0]","{""source"": ""web"", ""version"": ""2.0.0""}"
t-gamma,evt-0071,u1011,@dev11,"[3.75, 8, 3.75]","{""source"": ""api"", ""version"": ""3.1.1""}"
t-alpha,evt-0072,u1012,@dev12,"[5.0, 0, 4.5]","{""source"": ""mobile"", ""version"": ""1.2.2""}"
t-beta,evt-0073,u1013,@dev13,"[6.25, 1, 5.25]","{""source"": ""web"", ""version"": ""2.3.3""}"
t-gamma,evt-0074,u1014,@dev14,"[7.5, 2, 6.0]","{""source"": ""api"", ""version"": ""3.4.4""}"
t-alpha,evt-0075,u1015,@dev15,"[8.75, 3, 6.75]","{""source"": ""mobile"", ""version"": ""1.5.5""}"
t-beta,evt-0076,u1016,@dev16,"[10.0, 4, 7.5]","{""source"": ""web"", ""version"": ""2.6.6""}"
t-gamma,evt-0077,u1017,@dev17,"[11.25, 5, 0.0]","{""source"": ""api"", ""version"": ""3.7.0""}"
t-alpha,evt-0078,u1018,@dev18,"[12.5, 6, 0.75]","{""source"": ""mobile"", ""version"": ""1.8.1""}"
t-beta,evt-0079,u1019,@dev19,"[13.75, 7, 1.5]","{""source"": ""web"", ""version"": ""2.9.2""}"
t-gamma,evt-0080,u1020,@dev20,"[15.0, 8, 2.25]","{""source"": ""api"", ""version"": ""3.0.3""}"
t-alpha,evt-0081,u1021,@dev21,"[16.25, 0, 3.0]","{""source"": ""mobile"", ""version"": ""1.1.4""}"
t-beta,evt-0082,u1022,@dev22,"[17.5, 1, 3.75]","{""source"": ""web"", ""version"": ""2.2.5""}"
t-gamma,evt-0083,u1023,@dev23,"[18.75, 2, 4.5]","{""source"": ""api"", ""version"": ""3.3.6""}"
t-alpha,evt-0084,u1024,@dev24,"[20.0, 3, 5.25]","{""source"": ""mobile"", ""version"": ""1.4.0""}"
t-beta,evt-0085,u1025,@dev25,"[0.0, 4, 6.0]","{""source"": ""web"", ""version"": ""2.5.1""}"
t-gamma,evt-0086,u1026,@dev26,"[1.25, 5, 6.75]","{""source"": ""api"", ""version"": ""3.6.2""}"
t-alpha,evt-0087,u1027,@dev27,"[2.5, 6, 7.5]","{""source"": ""mobile"", ""version"": ""1.7.3""}"
t-beta,evt-0088,u1028,@dev28,"[3.75, 7, 0.0]","{""source"": ""web"", ""version"": ""2.8.4""}"
t-gamma,evt-0089,u1029,@dev29,"[5.0, 8, 0.75]","{""source"": ""api"", ""version"": ""3.9.5""}"
t-alpha,evt-0090,u1030,@dev30,"[6.25, 0, 1.5]","{""source"": ""mobile"", ""version"": ""1.0.6""}"
t-beta,evt-0091,u1031,@dev31,"[7.5, 1, 2.25]","{""source"": ""web"", ""version"": ""2.1.0""}"
t-gamma,evt-0092,u1032,@dev32,"[8.75, 2, 3.0]","{""source"": ""api"", ""version"": ""3.2.1""}"
t-alpha,evt-0093,u1033,@dev33,"[10.0, 3, 3.75]","{""source"": ""mobile"", ""version"": ""1.3.2""}"
t-beta,evt-0094,u1034,@dev34,"[11.25, 4, 4.5]","{""source"": ""web"", ""version"": ""2.4.3""}"
t-gamma,evt-0095,u1035,@dev35,"[12.5, 5, 5.25]","{""source"": ""api"", ""version"": ""3.5.4""}"
t-alpha,evt-0096,u1036,@dev36,"[13.75, 6, 6.0]","{""source"": ""mobile"", ""version"": ""1.6.5""}"
t-beta,evt-0097,u1037,@dev37,"[15.0, 7, 6.75]","{""source"": ""web"", ""version"": ""2.7.6""}"
t-gamma,evt-0098,u1038,@dev38,"[16.25, 8, 7.5]","{""source"": ""api"", ""version"": ""3.8.0""}"
t-alpha,evt-0099,u1039,@dev39,"[17.5, 0, 0.0]","{""source"": ""mobile"", ""version"": ""1.9.1""}"
t-beta,evt-0100,u1040,@dev40,"[18.75, 1, 0.75]","{""source"": ""web"", ""version"": ""2.0.2""}"
t-gamma,evt-0101,u1041,@dev41,"[20.0, 2, 1.5]","{""source"": ""api"", ""version"": ""3.1.3""}"
t-alpha,evt-0102,u1042,@dev42,"[0.0, 3, 2.25]","{""source"": ""mobile"", ""version"": ""1.2.4""}"
t-beta,evt-0103,u1043,@dev43,"[1.25, 4, 3.0]","{""source"": ""web"", ""version"": ""2.3.5""}"
t-gamma,evt-0104,u1044,@dev44,"[2.5, 5, 3.75]","{""source"": ""api"", ""version"": ""3.4.6""}"
t-alpha,evt-0105,u1045,@dev45,"[3.75, 6, 4.5]","{""source"": ""mobile"", ""version"": ""1.5.0""}"
t-beta,evt-0106,u1046,@dev46,"[5.0, 7, 5.25]","{""source"": ""web"", ""version"": ""2.6.1""}"
t-gamma,evt-0107,u1047,@dev47,"[6.25, 8, 6.0]","{""source"": ""api"", ""version"": ""3.7.2""}"
t-alpha,evt-0108,u1048,@dev48,"[7.5, 0, 6.75]","{""source"": ""mobile"", ""version"": ""1.8.3""}"
t-beta,evt-0109,u1049,@dev49,"[8.75, 1, 7.5]","{""source"": ""web"", ""version"": ""2.9.4""}"
t-gamma,evt-0110,u1050,@dev50,"[10.0, 2, 0.0]","{""source"": ""api"", ""version"": ""3.0.5""}"
t-alpha,evt-0111,u1051,@dev51,"[11.25, 3, 0.75]","{""source"": ""mobile"", ""version"": ""1.1.6""}"
t-beta,evt-0112,u1052,@dev52,"[12.5, 4, 1.5]","{""source"": ""web"", ""version"": ""2.2.0""}"
t-gamma,evt-0113,u1053,@dev53,"[13.75, 5, 2.25]","{""source"": ""api"", ""version"": ""3.3.1""}"
t-alpha,evt-0114,u1054,@dev54,"[15.0, 6, 3.0]","{""source"": ""mobile"", ""version"": ""1.4.2""}"
t-beta,evt-0115,u1055,@dev55,"[16.25, 7, 3.75]","{""source"": ""web"", ""version"": ""2.5.3""}"
t-gamma,evt-0116,u1056,@dev56,"[17.5, 8, 4.5]","{""source"": ""api"", ""version"": ""3.6.4""}"
t-alpha,evt-0117,u1057,@dev57,"[18.75, 0, 5.25]","{""source"": ""mobile"", ""version"": ""1.7.5""}"
t-beta,evt-0118,u1058,@dev58,"[20.0, 1, 6.0]","{""source"": ""web"", ""version"": ""2.8.6""}"
t-gamma,evt-0119,u1059,@dev59,"[0.0, 2, 6.75]","{""source"": ""api"", ""version"": ""3.9.0""}"
t-alpha,evt-0120,u1000,@dev00,"[1.25, 3, 7.5]","{""source"": ""mobile"", ""version"": ""1.0.1""}"
t-beta,evt-0121,u1001,@dev01,"[2.5, 4, 0.0]","{""source"": ""web"", ""version"": ""2.1.2""}"
t-gamma,evt-0122,u1002,@dev02,"[3.75, 5, 0.75]","{""source"": ""api"", ""version"": ""3.2.3""}"
t-alpha,evt-0123,u1003,@dev03,"[5.0, 6, 1.5]","{""source"": ""mobile"", ""version"": ""1.3.4""}"
t-beta,evt-0124,u1004,@dev04,"[6.25, 7, 2.25]","{""source"": ""web"", ""version"": ""2.4.5""}"
t-gamma,evt-0125,u1005,@dev05,"[7.5, 8, 3.0]","{""source"": ""api"", ""version"": ""3.5.6""}"
t-alpha,evt-0126,u1006,@dev06,"[8.75, 0, 3.75]","{""source"": ""mobile"", ""version"": ""1.6.0""}"
