customerId,support.ticketId,support.priority,support.openedAt
CUST-001,TCK-1001,medium,2026-02-02
CUST-002,TCK-1002,high,2026-02-03
CUST-003,TCK-1003,urgent,2026-02-04
CUST-004,TCK-1004,low,2026-02-05
CUST-005,TCK-1005,medium,2026-02-06
CUST-006,TCK-1006,high,2026-02-07
CUST-007,TCK-1007,urgent,2026-02-08
CUST-008,TCK-1008,low,2026-02-09
CUST-009,TCK-1009,medium,2026-02-10
CUST-010,TCK-1010,high,2026-02-11
CUST-011,TCK-1011,urgent,2026-02-12
CUST-012,TCK-1012,low,2026-02-13
CUST-013,TCK-1013,medium,2026-02-14
CUST-014,TCK-1014,high,2026-02-15
CUST-015,TCK-1015,urgent,2026-02-16
CUST-016,TCK-1016,low,2026-02-17
CUST-017,TCK-1017,medium,2026-02-18
CUST-018,TCK-1018,high,2026-02-19
CUST-019,TCK-1019,urgent,2026-02-20
CUST-020,TCK-1020,low,2026-02-21
CUST-021,TCK-1021,medium,2026-02-22
CUST-022,TCK-1022,high,2026-02-23
CUST-023,TCK-1023,urgent,2026-02-24
CUST-024,TCK-1024,low,2026-02-25
CUST-025,TCK-1025,medium,2026-02-26
CUST-026,TCK-1026,high,2026-02-27
CUST-027,TCK-1027,urgent,2026-02-28
CUST-028,TCK-1028,low,2026-02-01
CUST-029,TCK-1029,medium,2026-02-02
CUST-030,TCK-1030,high,2026-02-03
CUST-031,TCK-1031,urgent,2026-02-04
CUST-032,TCK-1032,low,2026-02-05
CUST-033,TCK-1033,medium,2026-02-06
CUST-034,TCK-1034,high,2026-02-07
CUST-035,TCK-1035,urgent,2026-02-08
CUST-036,TCK-1036,low,2026-02-09
CUST-037,TCK-1037,medium,2026-02-10
CUST-038,TCK-1038,high,2026-02-11
CUST-039,TCK-1039,urgent,2026-02-12
CUST-040,TCK-1040,low,2026-02-13
CUST-041,TCK-1041,medium,2026-02-14
CUST-042,TCK-1042,high,2026-02-15
CUST-043,TCK-1043,urgent,2026-02-16
CUST-044,TCK-1044,low,2026-02-17
CUST-045,TCK-1045,medium,2026-02-18
CUST-046,TCK-1046,high,2026-02-19
CUST-047,TCK-1047,urgent,2026-02-20
CUST-048,TCK-1048,low,2026-02-21
CUST-049,TCK-1049,medium,2026-02-22
CUST-050,TCK-1050,high,2026-02-23
CUST-051,TCK-1051,urgent,2026-02-24
CUST-052,TCK-1052,low,2026-02-25
CUST-053,TCK-1053,medium,2026-02-26
CUST-054,TCK-1054,high,2026-02-27
CUST-055,TCK-1055,urgent,2026-02-28
CUST-056,TCK-1056,low,2026-02-01
CUST-057,TCK-1057,medium,2026-02-02
CUST-058,TCK-1058,high,2026-02-03
CUST-059,TCK-1059,urgent,2026-02-04
CUST-060,TCK-1060,low,2026-02-05
CUST-061,TCK-1061,medium,2026-02-06
CUST-062,TCK-1062,high,2026-02-07
CUST-063,TCK-1063,urgent,2026-02-08
CUST-064,TCK-1064,low,2026-02-09
CUST-065,TCK-1065,medium,2026-02-10
CUST-066,TCK-1066,high,2026-02-11
CUST-067,TCK-1067,urgent,2026-02-12
CUST-068,TCK-1068,low,2026-02-13
CUST-069,TCK-1069,medium,2026-02-14
CUST-070,TCK-1070,high,2026-02-15
CUST-071,TCK-1071,urgent,2026-02-16
CUST-072,TCK-1072,low,2026-02-17
CUST-073,TCK-1073,medium,2026-02-18
CUST-074,TCK-1074,high,2026-02-19
CUST-075,TCK-1075,urgent,2026-02-20
CUST-076,TCK-1076,low,2026-02-21
CUST-077,TCK-1077,medium,2026-02-22
CUST-078,TCK-1078,high,2026-02-23
CUST-079,TCK-1079,urgent,2026-02-24
CUST-080,TCK-1080,low,2026-02-25
CUST-081,TCK-1081,medium,2026-02-26
CUST-082,TCK-1082,high,2026-02-27
CUST-083,TCK-1083,urgent,2026-02-28
CUST-084,TCK-1084,low,2026-02-01
CUST-085,TCK-1085,medium,2026-02-02
CUST-086,TCK-1086,high,2026-02-03
CUST-087,TCK-1087,urgent,2026-02-04
CUST-088,TCK-1088,low,2026-02-05
CUST-089,TCK-1089,medium,2026-02-06
CUST-090,TCK-1090,high,2026-02-07
CUST-091,TCK-1091,urgent,2026-02-08
CUST-092,TCK-1092,low,2026-02-09
CUST-093,TCK-1093,medium,2026-02-10
CUST-094,TCK-1094,high,2026-02-11
CUST-095,TCK-1095,urgent,2026-02-12
CUST-096,TCK-1096,low,2026-02-13
CUST-097,TCK-1097,medium,2026-02-14
CUST-098,TCK-1098,high,2026-02-15
CUST-099,TCK-1099,urgent,2026-02-16
CUST-100,TCK-1100,low,2026-02-17
CUST-101,TCK-1101,medium,2026-02-18
CUST-102,TCK-1102,high,2026-02-19
CUST-103,TCK-1103,urgent,2026-02-20
