orderId,status,totals.subtotal
ORD-1001,paid,17.35
ORD-1002,shipped,19.70
ORD-1003,cancelled,22.05
ORD-1004,returned,24.40
ORD-1005,open,26.75
ORD-1006,paid,29.10
ORD-1007,shipped,31.45
ORD-1008,cancelled,33.80
ORD-1009,returned,36.15
ORD-1010,open,38.50
ORD-1011,paid,40.85
ORD-1012,shipped,43.20
ORD-1013,cancelled,45.55
ORD-1014,returned,47.90
ORD-1015,open,50.25
ORD-1016,paid,52.60
ORD-1017,shipped,54.95
ORD-1018,cancelled,57.30
ORD-1019,returned,59.65
ORD-1020,open,62.00
ORD-1021,paid,64.35
ORD-1022,shipped,66.70
ORD-1023,cancelled,69.05
ORD-1024,returned,71.40
ORD-1025,open,73.75
ORD-1026,paid,76.10
ORD-1027,shipped,78.45
ORD-1028,cancelled,80.80
ORD-1029,returned,83.15
ORD-1030,open,85.50
ORD-1031,paid,87.85
ORD-1032,shipped,90.20
ORD-1033,cancelled,92.55
ORD-1034,returned,94.90
ORD-1035,open,97.25
ORD-1036,paid,99.60
ORD-1037,shipped,101.95
ORD-1038,cancelled,104.30
ORD-1039,returned,106.65
ORD-1040,open,109.00
ORD-1041,paid,111.35
ORD-1042,shipped,113.70
ORD-1043,cancelled,116.05
ORD-1044,returned,118.40
ORD-1045,open,120.75
ORD-1046,paid,123.10
ORD-1047,shipped,125.45
ORD-1048,cancelled,127.80
ORD-1049,returned,130.15
ORD-1050,open,132.50
ORD-1051,paid,134.85
ORD-1052,shipped,137.20
ORD-1053,cancelled,139.55
ORD-1054,returned,141.90
ORD-1055,open,144.25
ORD-1056,paid,146.60
ORD-1057,shipped,148.95
ORD-1058,cancelled,151.30
ORD-1059,returned,153.65
ORD-1060,open,156.00
ORD-1061,paid,158.35
ORD-1062,shipped,160.70
ORD-1063,cancelled,163.05
ORD-1064,returned,165.40
ORD-1065,open,167.75
ORD-1066,paid,170.10
ORD-1067,shipped,172.45
ORD-1068,cancelled,174.80
ORD-1069,returned,177.15
ORD-1070,open,179.50
ORD-1071,paid,181.85
ORD-1072,shipped,184.20
ORD-1073,cancelled,186.55
ORD-1074,returned,188.90
ORD-1075,open,191.25
ORD-1076,paid,193.60
ORD-1077,shipped,195.95
ORD-1078,cancelled,198.30
ORD-1079,returned,200.65
ORD-1080,open,203.00
ORD-1081,paid,205.35
ORD-1082,shipped,207.70
ORD-1083,cancelled,210.05
ORD-1084,returned,212.40
ORD-1085,open,214.75
ORD-1086,paid,217.10
ORD-1087,shipped,219.45
ORD-1088,cancelled,221.80
ORD-1089,returned,224.15
ORD-1090,open,226.50
ORD-1091,paid,228.85
ORD-1092,shipped,231.20
ORD-1093,cancelled,233.55
ORD-1094,returned,235.90
ORD-1095,open,238.25
ORD-1096,paid,240.60
ORD-1097,shipped,242.95
ORD-1098,cancelled,245.30
ORD-1099,returned,247.65
ORD-1100,open,250.00
ORD-1101,paid,252.35
ORD-1102,shipped,254.70
ORD-1103,cancelled,257.05
ORD-1104,returned,259.40
ORD-1105,open,261.75
ORD-1106,paid,264.10
ORD-1107,shipped,266.45
ORD-1108,cancelled,268.80
ORD-1109,returned,271.15
ORD-1110,open,273.50
ORD-1111,paid,275.85
ORD-1112,shipped,278.20
ORD-1113,cancelled,280.55
ORD-1114,returned,282.90
ORD-1115,open,285.25
ORD-1116,paid,287.60
ORD-1117,shipped,289.95
ORD-1118,cancelled,292.30
ORD-1119,returned,294.65
ORD-1120,open,15.00
ORD-1121,paid,17.35
ORD-1122,shipped,19.70
ORD-1123,cancelled,22.05
ORD-1124,returned,24.40
ORD-1125,open,26.75
ORD-1126,paid,29.10
ORD-1127,shipped,31.45
ORD-1128,cancelled,33.80
ORD-1129,returned,36.15
ORD-1130,open,38.50
ORD-1131,paid,40.85
ORD-1132,shipped,43.20
ORD-1133,cancelled,45.55
ORD-1134,returned,47.90
ORD-1135,open,50.25
ORD-1136,paid,52.60
ORD-1137,shipped,54.95
ORD-1138,cancelled,57.30
ORD-1139,returned,59.65
ORD-1140,open,62.00
ORD-1141,paid,64.35
ORD-1142,shipped,66.70
ORD-1143,cancelled,69.05
ORD-1144,returned,71.40
ORD-1145,open,73.75
ORD-1146,paid,76.10
ORD-1147,shipped,78.45
ORD-1148,cancelled,80.80
ORD-1149,returned,83.15
ORD-1150,open,85.50
ORD-1151,paid,87.85
ORD-1152,shipped,90.20
ORD-1153,cancelled,92.55
ORD-1154,returned,94.90
ORD-1155,open,97.25
ORD-1156,paid,99.60
ORD-1157,shipped,101.95
ORD-1158,cancelled,104.30
ORD-1159,returned,106.65
ORD-1160,open,109.00
ORD-1161,paid,111.35
ORD-1162,shipped,113.70
ORD-1163,cancelled,116.05
ORD-1164,returned,118.40
ORD-1165,open,120.75
ORD-1166,paid,123.10
ORD-1167,shipped,125.45
ORD-1168,cancelled,127.80
ORD-1169,returned,130.15
ORD-1170,open,132.50
ORD-1171,paid,134.85
ORD-1172,shipped,137.20
ORD-1173,cancelled,139.55
ORD-1174,returned,141.90
ORD-1175,open,144.25
ORD-1176,paid,146.60
ORD-1177,shipped,148.95
ORD-1178,cancelled,151.30
ORD-1179,returned,153.65
ORD-1180,open,156.00
ORD-1181,paid,158.35
ORD-1182,shipped,160.70
ORD-1183,cancelled,163.05
ORD-1184,returned,165.40
ORD-1185,open,167.75
ORD-1186,paid,170.10
ORD-1187,shipped,172.45
ORD-1188,cancelled,174.80
ORD-1189,returned,177.15
ORD-1190,open,179.50
ORD-1191,paid,181.85
ORD-1192,shipped,184.20
ORD-1193,cancelled,186.55
ORD-1194,returned,188.90
ORD-1195,open,191.25
ORD-1196,paid,193.60
ORD-1197,shipped,195.95
ORD-1198,cancelled,198.30
ORD-1199,returned,200.65
ORD-1200,open,203.00
ORD-1201,paid,205.35
ORD-1202,shipped,207.70
ORD-1203,cancelled,210.05
ORD-1204,returned,212.40
ORD-1205,open,214.75
ORD-1206,paid,217.10
ORD-1207,shipped,219.45
ORD-1208,cancelled,221.80
ORD-1209,returned,224.15
ORD-1210,open,226.50
ORD-1211,paid,228.85
ORD-1212,shipped,231.20
ORD-1213,cancelled,233.55
ORD-1214,returned,235.90
ORD-1215,open,238.25
ORD-1216,paid,240.60
ORD-1217,shipped,242.95
ORD-1218,cancelled,245.30
ORD-1219,returned,247.65
ORD-1220,open,250.00
ORD-1221,paid,252.35
ORD-1222,shipped,254.70
ORD-1223,cancelled,257.05
ORD-1224,returned,259.40
ORD-1225,open,261.75
ORD-1226,paid,264.10
ORD-1227,shipped,266.45
ORD-1228,cancelled,268.80
ORD-1229,returned,271.15
ORD-1230,open,273.50
ORD-1231,paid,275.85
ORD-1232,shipped,278.20
ORD-1233,cancelled,280.55
ORD-1234,returned,282.90
ORD-1235,open,285.25
ORD-1236,paid,287.60
ORD-1237,shipped,289.95
ORD-1238,cancelled,292.30
ORD-1239,returned,294.65
ORD-1240,open,15.00
ORD-1241,paid,17.35
ORD-1242,shipped,19.70
ORD-1243,cancelled,22.05
ORD-1244,returned,24.40
ORD-1245,open,26.75
ORD-1246,paid,29.10
ORD-1247,shipped,31.45
ORD-1248,cancelled,33.80
ORD-1249,returned,36.15
ORD-1250,open,38.50
