orderId,payment.method,payment.last4,payment.paidAt
ORD-1001,ach,,2026-01-02
ORD-1002,paypal,,2026-01-03
ORD-1003,wire,,2026-01-04
ORD-1004,card,1148,2026-01-05
ORD-1005,ach,,2026-01-06
ORD-1006,paypal,,2026-01-07
ORD-1007,wire,,2026-01-08
ORD-1008,card,1296,2026-01-09
ORD-1009,ach,,2026-01-10
ORD-1010,paypal,,2026-01-11
ORD-1011,wire,,2026-01-12
ORD-1012,card,1444,2026-01-13
ORD-1013,ach,,2026-01-14
ORD-1014,paypal,,2026-01-15
ORD-1015,wire,,2026-01-16
ORD-1016,card,1592,2026-01-17
ORD-1017,ach,,2026-01-18
ORD-1018,paypal,,2026-01-19
ORD-1019,wire,,2026-01-20
ORD-1020,card,1740,2026-01-21
ORD-1021,ach,,2026-01-22
ORD-1022,paypal,,2026-01-23
ORD-1023,wire,,2026-01-24
ORD-1024,card,1888,2026-01-25
ORD-1025,ach,,2026-01-26
ORD-1026,paypal,,2026-01-27
ORD-1027,wire,,2026-01-28
ORD-1028,card,2036,2026-01-01
ORD-1029,ach,,2026-01-02
ORD-1030,paypal,,2026-01-03
ORD-1031,wire,,2026-01-04
ORD-1032,card,2184,2026-01-05
ORD-1033,ach,,2026-01-06
ORD-1034,paypal,,2026-01-07
ORD-1035,wire,,2026-01-08
ORD-1036,card,2332,2026-01-09
ORD-1037,ach,,2026-01-10
ORD-1038,paypal,,2026-01-11
ORD-1039,wire,,2026-01-12
ORD-1040,card,2480,2026-01-13
ORD-1041,ach,,2026-01-14
ORD-1042,paypal,,2026-01-15
ORD-1043,wire,,2026-01-16
ORD-1044,card,2628,2026-01-17
ORD-1045,ach,,2026-01-18
ORD-1046,paypal,,2026-01-19
ORD-1047,wire,,2026-01-20
ORD-1048,card,2776,2026-01-21
ORD-1049,ach,,2026-01-22
ORD-1050,paypal,,2026-01-23
ORD-1051,wire,,2026-01-24
ORD-1052,card,2924,2026-01-25
ORD-1053,ach,,2026-01-26
ORD-1054,paypal,,2026-01-27
ORD-1055,wire,,2026-01-28
ORD-1056,card,3072,2026-01-01
ORD-1057,ach,,2026-01-02
ORD-1058,paypal,,2026-01-03
ORD-1059,wire,,2026-01-04
ORD-1060,card,3220,2026-01-05
ORD-1061,ach,,2026-01-06
ORD-1062,paypal,,2026-01-07
ORD-1063,wire,,2026-01-08
ORD-1064,card,3368,2026-01-09
ORD-1065,ach,,2026-01-10
ORD-1066,paypal,,2026-01-11
ORD-1067,wire,,2026-01-12
ORD-1068,card,3516,2026-01-13
ORD-1069,ach,,2026-01-14
ORD-1070,paypal,,2026-01-15
ORD-1071,wire,,2026-01-16
ORD-1072,card,3664,2026-01-17
ORD-1073,ach,,2026-01-18
ORD-1074,paypal,,2026-01-19
ORD-1075,wire,,2026-01-20
ORD-1076,card,3812,2026-01-21
ORD-1077,ach,,2026-01-22
ORD-1078,paypal,,2026-01-23
ORD-1079,wire,,2026-01-24
ORD-1080,card,3960,2026-01-25
ORD-1081,ach,,2026-01-26
ORD-1082,paypal,,2026-01-27
ORD-1083,wire,,2026-01-28
ORD-1084,card,4108,2026-01-01
ORD-1085,ach,,2026-01-02
ORD-1086,paypal,,2026-01-03
ORD-1087,wire,,2026-01-04
ORD-1088,card,4256,2026-01-05
ORD-1089,ach,,2026-01-06
ORD-1090,paypal,,2026-01-07
ORD-1091,wire,,2026-01-08
ORD-1092,card,4404,2026-01-09
ORD-1093,ach,,2026-01-10
ORD-1094,paypal,,2026-01-11
ORD-1095,wire,,2026-01-12
ORD-1096,card,4552,2026-01-13
ORD-1097,ach,,2026-01-14
ORD-1098,paypal,,2026-01-15
ORD-1099,wire,,2026-01-16
ORD-1100,card,4700,2026-01-17
ORD-1101,ach,,2026-01-18
ORD-1102,paypal,,2026-01-19
ORD-1103,wire,,2026-01-20
ORD-1104,card,4848,2026-01-21
